"Source:","C:\Users\Boggy\opt\ece411-sunrise-alarm\Hardware\sunrise-alarm\sunrise-alarm.kicad_sch"
"Date:","11/10/2021 11:33:00 PM"
"Tool:","Eeschema (5.99.0-13086-gffd1139cfe)"
"Generator:","C:\Program Files\KiCad\5.99\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","54"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Arrow Part Number","Arrow Price/Stock","Description","Height","MANUFACTURER","Manufacturer_Name","Manufacturer_Part_Number","Mouser Part Number","Mouser Price/Stock"
"","","BZ1","Buzzer","Device:Buzzer","","~","","","","","","","","",""
"","","C1","10u","Device:C_Polarized_Small","","~","","","","","","","","",""
"","","C2","10nF","Device:C","","~","","","","","","","","",""
"","","C3","22u","Device:C_Polarized_Small","","~","","","","","","","","",""
"","","C4","0.1uF","Device:C","","~","","","","","","","","",""
"","","D1","LED","Device:LED","","~","","","","","","","","",""
"","","D2","1N5817","Diode:1N5817","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","http://www.vishay.com/docs/88525/1n5817.pdf","","","","","","","","",""
"","","IC1","CD74HC237M96","SamacSys_Parts:CD74HC237M96","SOIC127P600X175-16N","http://www.ti.com/lit/gpn/cd74hc237","","","Texas Instruments CD74HC237M96, Decoder, Demultiplexer, 1-of-8, Non-Inverting, 2  6 V, 16-Pin SOIC","1.75","","Texas Instruments","CD74HC237M96","595-CD74HC237M96","https://www.mouser.co.uk/ProductDetail/Texas-Instruments/CD74HC237M96?qs=VolsR0DjNPr8qtKYjCpCEA%3D%3D"
"","","IC2","ACST410-8BTR","Custom:ACST410-8BTR","ACST4108BTR","https://www.st.com/resource/en/datasheet/acst4.pdf","ACST410-8BTR","https://www.arrow.com/en/products/acst410-8btr/stmicroelectronics","STMicroelectronics, ACST410-8BTR, TRIAC, 800V 4A, Gate Trigger 1V 10mA, 3-Pin DPAK","2.4","","STMicroelectronics","ACST410-8BTR","511-ACST410-8BTR","https://www.mouser.co.uk/ProductDetail/STMicroelectronics/ACST410-8BTR?qs=SAP8%252B8699SA4xcwG%252BvoKnA%3D%3D"
"","","J1","Conn_01x08_Male","Connector:Conn_01x08_Male","","~","","","","","","","","",""
"","","J2","Conn_01x06_Female","Connector:Conn_01x06_Female","","~","","","","","","","","",""
"","","J3","Conn_01x06_Male","Connector:Conn_01x06_Male","","~","","","","","","","","",""
"","","J4","Conn_01x05","Connector_Generic:Conn_01x05","Connector_Harwin:Harwin_M20-89005xx_1x05_P2.54mm_Horizontal","~","","","","","","","","",""
"","","J6","Conn_Socket","Connector:Conn_WallSocket","","~","","","","","","","","",""
"","","JP1","Jumper_2_Bridged","Jumper:Jumper_2_Bridged","TestPoint:TestPoint_2Pads_Pitch2.54mm_Drill0.8mm","~","","","","","","","","",""
"","","P1","Conn_WallPlug","Connector:Conn_WallPlug","","~","","","","","","","","",""
"","","PS1","IRM-05-5","Converter_ACDC:IRM-05-5","Converter_ACDC:Converter_ACDC_MeanWell_IRM-05-xx_THT","https://www.meanwell.com/Upload/PDF/IRM-05/IRM-05-SPEC.PDF","","","","","","","","",""
"","","Q1","2N3904","Transistor_BJT:2N3904","Package_TO_SOT_THT:TO-92","https://www.onsemi.com/pub/Collateral/2N3903-D.PDF","","","","","","","","",""
"","","R1","10K","Device:R_US","","~","","","","","","","","",""
"","","R2","200","Device:R_US","","~","","","","","","","","",""
"","","R3","47k","Device:R_US","","~","","","","","","","","",""
"","","R4","47k","Device:R_US","","~","","","","","","","","",""
"","","R5","6.8k","Device:R_Small","","~","","","","","","","","",""
"","","R6","6.8k","Device:R_Small","","~","","","","","","","","",""
"","","R7","10K","Device:R_US","","~","","","","","","","","",""
"","","R8","300","Device:R_Small","","~","","","","","","","","",""
"","","R9","100","Device:R_US","","~","","","","","","","","",""
"","","R10","10k","Device:R_Small","","~","","","","","","","","",""
"","","R11","10k","Device:R_Small","","~","","","","","","","","",""
"","","R12","10k","Device:R_Small","","~","","","","","","","","",""
"","","R13","10k","Device:R_Small","","~","","","","","","","","",""
"","","R14","330","Device:R_US","","~","","","","","","","","",""
"","","R15","330","Device:R_US","","~","","","","","","","","",""
"","","R16","80","Device:R_Small","","~","","","","","","","","",""
"","","R17","160","Device:R_Small","","~","","","","","","","","",""
"","","R18","1k","Device:R_Small","","~","","","","","","","","",""
"","","R19","160","Device:R_Small","","~","","","","","","","","",""
"","","R20","160","Device:R_Small","","~","","","","","","","","",""
"","","R21","160","Device:R_Small","","~","","","","","","","","",""
"","","R22","160","Device:R_Small","","~","","","","","","","","",""
"","","R23","160","Device:R_Small","","~","","","","","","","","",""
"","","R24","160","Device:R_Small","","~","","","","","","","","",""
"","","R25","160","Device:R_Small","","~","","","","","","","","",""
"","","R26","160","Device:R_Small","","~","","","","","","","","",""
"","","RV1","CV300K14BL1","Device:Varistor","","~","","","","","","","","",""
"","","S1","PTS526_SK15_SMTR2_LFS","Custom:PTS526_SK15_SMTR2_LFS","PTS526SK15SMTR2LFS","https://www.ckswitches.com/media/2780/pts526.pdf","","","Tact 5.2 x 5.2, 1.5 mm H, 260gf, G leads, No ground pin, metal actuator","1.65","","C & K COMPONENTS","PTS526 SK15 SMTR2 LFS","611-PTS526SK15SMR2L","https://www.mouser.co.uk/ProductDetail/CK/PTS526-SK15-SMTR2-LFS?qs=UXgszm6BlbF5Ezp94JAQtw%3D%3D"
"","","S2","PTS526_SK15_SMTR2_LFS","Custom:PTS526_SK15_SMTR2_LFS","PTS526SK15SMTR2LFS","https://www.ckswitches.com/media/2780/pts526.pdf","","","Tact 5.2 x 5.2, 1.5 mm H, 260gf, G leads, No ground pin, metal actuator","1.65","","C & K COMPONENTS","PTS526 SK15 SMTR2 LFS","611-PTS526SK15SMR2L","https://www.mouser.co.uk/ProductDetail/CK/PTS526-SK15-SMTR2-LFS?qs=UXgszm6BlbF5Ezp94JAQtw%3D%3D"
"","","SW1","SW_Push","Switch:SW_Push","","~","","","","","","","","",""
"","","U1","AZ1117-3.3","Regulator_Linear:AZ1117-3.3","Package_TO_SOT_SMD:SOT-89-3_Handsoldering","https://www.diodes.com/assets/Datasheets/AZ1117.pdf","","","","","","","","",""
"","","U2","PIC18F26K42-xSO","MCU_Microchip_PIC18:PIC18F26K22-xSO","Package_SO:SOIC-28W_7.5x17.9mm_P1.27mm","http://ww1.microchip.com/downloads/en/DeviceDoc/40001412G.pdf","","","","","","","","",""
"","","U3","SFH6286-4T","Custom:SFH6286-4T","SOIC254P977X460-4N","","","","","","Vishay","","","",""
"","","U4","MOC3052M","Relay_SolidState:MOC3052M","","https://www.onsemi.com/pub/Collateral/MOC3052M-D.PDF","","","","","","","","",""
"","","U5","COM-10931","Custom:COM-10931","","http://cdn.sparkfun.com/datasheets/Components/LED/ATA3492BW_2.pdf","","","","","","","","",""
"","","Y1","ASDK-32.768KHZ-LRT","Custom:ASDK-32.768KHZ-LRT","ASDK32768KHZLRT","https://abracon.com/Support/PackageDrawing/Oscillators/ASDK.PDF","","","Oscillator XO 0.032768MHz +/-25ppm 15pF CMOS 60% 3.3V 4-Pin SMD T/R","0.95","","ABRACON","ASDK-32.768KHZ-LRT","815-ASDK-32.7K-LRT","https://www.mouser.co.uk/ProductDetail/ABRACON/ASDK-32768KHz-LRT?qs=iFuT%252BolKbR5RlVqzp84gTQ%3D%3D"



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Arrow Part Number","Arrow Price/Stock","Description","Height","MANUFACTURER","Manufacturer_Name","Manufacturer_Part_Number","Mouser Part Number","Mouser Price/Stock"
"1","1","BZ1","Buzzer","Device:Buzzer","","~","","","","","","","","",""
"2","1","C1","10u","Device:C_Polarized_Small","","~","","","","","","","","",""
"3","1","C2","10nF","Device:C","","~","","","","","","","","",""
"4","1","C3","22u","Device:C_Polarized_Small","","~","","","","","","","","",""
"5","1","C4","0.1uF","Device:C","","~","","","","","","","","",""
"6","1","D1","LED","Device:LED","","~","","","","","","","","",""
"7","1","D2","1N5817","Diode:1N5817","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","http://www.vishay.com/docs/88525/1n5817.pdf","","","","","","","","",""
"8","1","IC1","CD74HC237M96","SamacSys_Parts:CD74HC237M96","SOIC127P600X175-16N","http://www.ti.com/lit/gpn/cd74hc237","","","Texas Instruments CD74HC237M96, Decoder, Demultiplexer, 1-of-8, Non-Inverting, 2  6 V, 16-Pin SOIC","1.75","","Texas Instruments","CD74HC237M96","595-CD74HC237M96","https://www.mouser.co.uk/ProductDetail/Texas-Instruments/CD74HC237M96?qs=VolsR0DjNPr8qtKYjCpCEA%3D%3D"
"9","1","IC2","ACST410-8BTR","Custom:ACST410-8BTR","ACST4108BTR","https://www.st.com/resource/en/datasheet/acst4.pdf","ACST410-8BTR","https://www.arrow.com/en/products/acst410-8btr/stmicroelectronics","STMicroelectronics, ACST410-8BTR, TRIAC, 800V 4A, Gate Trigger 1V 10mA, 3-Pin DPAK","2.4","","STMicroelectronics","ACST410-8BTR","511-ACST410-8BTR","https://www.mouser.co.uk/ProductDetail/STMicroelectronics/ACST410-8BTR?qs=SAP8%252B8699SA4xcwG%252BvoKnA%3D%3D"
"10","1","J1","Conn_01x08_Male","Connector:Conn_01x08_Male","","~","","","","","","","","",""
"11","1","J2","Conn_01x06_Female","Connector:Conn_01x06_Female","","~","","","","","","","","",""
"12","1","J3","Conn_01x06_Male","Connector:Conn_01x06_Male","","~","","","","","","","","",""
"13","1","J4","Conn_01x05","Connector_Generic:Conn_01x05","Connector_Harwin:Harwin_M20-89005xx_1x05_P2.54mm_Horizontal","~","","","","","","","","",""
"14","1","J6","Conn_Socket","Connector:Conn_WallSocket","","~","","","","","","","","",""
"15","1","JP1","Jumper_2_Bridged","Jumper:Jumper_2_Bridged","TestPoint:TestPoint_2Pads_Pitch2.54mm_Drill0.8mm","~","","","","","","","","",""
"16","1","P1","Conn_WallPlug","Connector:Conn_WallPlug","","~","","","","","","","","",""
"17","1","PS1","IRM-05-5","Converter_ACDC:IRM-05-5","Converter_ACDC:Converter_ACDC_MeanWell_IRM-05-xx_THT","https://www.meanwell.com/Upload/PDF/IRM-05/IRM-05-SPEC.PDF","","","","","","","","",""
"18","1","Q1","2N3904","Transistor_BJT:2N3904","Package_TO_SOT_THT:TO-92","https://www.onsemi.com/pub/Collateral/2N3903-D.PDF","","","","","","","","",""
"19","2","R1, R7","10K","Device:R_US","","~","","","","","","","","",""
"20","1","R2","200","Device:R_US","","~","","","","","","","","",""
"21","2","R3, R4","47k","Device:R_US","","~","","","","","","","","",""
"22","2","R5, R6","6.8k","Device:R_Small","","~","","","","","","","","",""
"23","1","R8","300","Device:R_Small","","~","","","","","","","","",""
"24","1","R9","100","Device:R_US","","~","","","","","","","","",""
"25","4","R10, R11, R12, R13","10k","Device:R_Small","","~","","","","","","","","",""
"26","2","R14, R15","330","Device:R_US","","~","","","","","","","","",""
"27","1","R16","80","Device:R_Small","","~","","","","","","","","",""
"28","9","R17, R19, R20, R21, R22, R23, R24, R25, R26","160","Device:R_Small","","~","","","","","","","","",""
"29","1","R18","1k","Device:R_Small","","~","","","","","","","","",""
"30","1","RV1","CV300K14BL1","Device:Varistor","","~","","","","","","","","",""
"31","2","S1, S2","PTS526_SK15_SMTR2_LFS","Custom:PTS526_SK15_SMTR2_LFS","PTS526SK15SMTR2LFS","https://www.ckswitches.com/media/2780/pts526.pdf","","","Tact 5.2 x 5.2, 1.5 mm H, 260gf, G leads, No ground pin, metal actuator","1.65","","C & K COMPONENTS","PTS526 SK15 SMTR2 LFS","611-PTS526SK15SMR2L","https://www.mouser.co.uk/ProductDetail/CK/PTS526-SK15-SMTR2-LFS?qs=UXgszm6BlbF5Ezp94JAQtw%3D%3D"
"32","1","SW1","SW_Push","Switch:SW_Push","","~","","","","","","","","",""
"33","1","U1","AZ1117-3.3","Regulator_Linear:AZ1117-3.3","Package_TO_SOT_SMD:SOT-89-3_Handsoldering","https://www.diodes.com/assets/Datasheets/AZ1117.pdf","","","","","","","","",""
"34","1","U2","PIC18F26K42-xSO","MCU_Microchip_PIC18:PIC18F26K22-xSO","Package_SO:SOIC-28W_7.5x17.9mm_P1.27mm","http://ww1.microchip.com/downloads/en/DeviceDoc/40001412G.pdf","","","","","","","","",""
"35","1","U3","SFH6286-4T","Custom:SFH6286-4T","SOIC254P977X460-4N","","","","","","Vishay","","","",""
"36","1","U4","MOC3052M","Relay_SolidState:MOC3052M","","https://www.onsemi.com/pub/Collateral/MOC3052M-D.PDF","","","","","","","","",""
"37","1","U5","COM-10931","Custom:COM-10931","","http://cdn.sparkfun.com/datasheets/Components/LED/ATA3492BW_2.pdf","","","","","","","","",""
"38","1","Y1","ASDK-32.768KHZ-LRT","Custom:ASDK-32.768KHZ-LRT","ASDK32768KHZLRT","https://abracon.com/Support/PackageDrawing/Oscillators/ASDK.PDF","","","Oscillator XO 0.032768MHz +/-25ppm 15pF CMOS 60% 3.3V 4-Pin SMD T/R","0.95","","ABRACON","ASDK-32.768KHZ-LRT","815-ASDK-32.7K-LRT","https://www.mouser.co.uk/ProductDetail/ABRACON/ASDK-32768KHz-LRT?qs=iFuT%252BolKbR5RlVqzp84gTQ%3D%3D"
